"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"ХАЙДИ","HEIDI","http://www.kinohorosho.ru/node/1257","Ален Гспонер","Германия-Швейцария-ЮАР","mixed",2015,91,"not short","ХАЙДИ HEIDI","Германия, Швейцария, ЮАР, 2015, 91 мин."
"АН","AN","http://www.kinohorosho.ru/node/1244","Наоми Кавасе","Япония-Франция-Германия","mixed",2015,113,"not short","АНAN","Япония, Франция, Германия, 2015, 113 мин."
"АНИАРА","ANIARA","http://www.kinohorosho.ru/node/1393","Пелла Когерман, Хюго Лиа","Швеция-Дания-США","mixed",2018,106,"not short","АНИАРАANIARA","Швеция, Дания, США, 2018, 106 мин."
"ВЕЛИКИЙ","MINAMATA","http://www.kinohorosho.ru/node/1374","Эндрю Левитас","Великобритания-США-ОАЭ","mixed",2020,115,"not short","ВЕЛИКИЙMINAMATA"," Великобритания, США, ОАЭ, 2020, 115 мин."
"ГЛУХИЕ СТЕНЫ","MEDIANERAS","http://www.kinohorosho.ru/node/1019","Густаво Таррето","Аргентина-Испания-Германия","mixed",2011,94,"not short","ГЛУХИЕ СТЕНЫMEDIANERAS","Аргентина, Испания, Германия, 2011, 94 мин."
"ДО РАССВЕТА","VOR DER MORGENRÖTE","http://www.kinohorosho.ru/node/1364","Мария Шрадер","Австрия-Германия-Франция","mixed",2016,106,"not short","ДО РАССВЕТАVOR DER MORGENRÖTE","Австрия, Германия, Франция, 2016, 106 мин."
"ДЮНА","DUNE","http://www.kinohorosho.ru/node/1418","Дени Вильнев","США-Канада-Венгрия","mixed",2021,155,"not short","ДЮНАDUNE","США, Канада, Венгрия, 2021, 155 мин."
"ЗИМНИЕ СТРАННИКИ","HIVER NOMADE","http://www.kinohorosho.ru/node/1262","Мануэль Фон Штюрлер","Швейцария-Франция-Германия","mixed",2012,90,"not short","ЗИМНИЕ СТРАННИКИ  HIVER NOMADE","Швейцария, Франция, Германия, 2012, 90 мин."
"ИМЯ РОЗЫ","DER NAME DER ROSE","http://www.kinohorosho.ru/node/1006","Жан-Жак Анно","Италия-Германия (ФРГ)-Франция","mixed",1986,132,"not short","ИМЯ РОЗЫ DER NAME DER ROSE","Италия, Германия (ФРГ), Франция, 1986, 132 мин."
"КЛОУНЫ","I CLOWNS","http://www.kinohorosho.ru/node/703","Федерико Феллини","Франция-Италия-Германия","mixed",1970,92,"not short","КЛОУНЫI CLOWNS  ","Франция, Италия, Германия, 1970, 92 мин."
"КОЛЯ","KOLJA","http://www.kinohorosho.ru/node/819","Ян Сверак","Чехия-Великобритания-Франция","mixed",1996,105,"not short","КОЛЯKOLJA","Чехия, Великобритания, Франция, 1996, 105 мин."
"МЕФИСТО","MEPHISTO","http://www.kinohorosho.ru/node/1461","Иштван Сабо","Германия (ФРГ)-Венгрия-Австрия","mixed",1981,144,"not short","МЕФИСТО MEPHISTO"," Германия (ФРГ), Венгрия, Австрия, 1981, 144 мин."
"МОЙ СОЗДАТЕЛЬ","ARCHIVE","http://www.kinohorosho.ru/node/1348","Гэвин Ротери","Великобритания-Венгрия-США","mixed",2020,100,"not short","Мой создательArchive "," Великобритания, Венгрия, США, 2020, 100 мин."
"ОДИНОЧЕСТВО ПРОСТЫХ ЧИСЕЛ","LA SOLITUDINE DEI NUMERI PRIMI","http://www.kinohorosho.ru/node/708","Саверио Костанзо","Италия-Германия-Франция","mixed",2010,120,"not short","ОДИНОЧЕСТВО ПРОСТЫХ ЧИСЕЛLA SOLITUDINE DEI NUMERI PRIMI","Италия, Германия, Франция, 2010, 120 мин."
"ПИАНИНО","THE PIANO","http://www.kinohorosho.ru/node/1170","Джейн Кэмпион","Австралия-Новая Зеландия-Франция","mixed",1992,121,"not short","ПИАНИНОTHE PIANO ","Австралия, Новая Зеландия, Франция, 1992, 121 мин."
"ТРАНЗИТ","TRANSIT","http://www.kinohorosho.ru/node/1412","Кристиан Петцольд","Германия-Франция-","mixed",2018,101,"not short","ТРАНЗИТTRANSIT","Германия, Франция, , 2018, 101 мин."
"УРОКИ ФАРСИ","","http://www.kinohorosho.ru/node/1369","Вадим Перельман","Россия-Германия-Беларусь","mixed",2020,120,"not short","УРОКИ ФАРСИ","Россия, Германия, Беларусь, 2020, 120 мин."
"ФЭЙ ГРИМ","FAY GRIM","http://www.kinohorosho.ru/node/1109","Хэл Хартли","США-Германия-Франция","mixed",2006,118,"not short","ФЭЙ ГРИМFAY GRIM","США, Германия, Франция, 2006, 118 мин."
"ХОРИСТЫ","LES CHORISTES","http://www.kinohorosho.ru/node/1432","Кристоф Барратье","Франция-Швейцария-Германия","mixed",2004,95,"not short","ХОРИСТЫLES CHORISTES"," Франция, Швейцария, Германия, 2004, 95 мин."
"МАЛЕНЬКИЙ БУДДА","LITTLE BUDDHA","http://www.kinohorosho.ru/node/1248","Бернардо Бертолуччи","Италия-Франция-Лихтенштейн-Великобритания","mixed",1993,123,"not short","МАЛЕНЬКИЙ БУДДАLITTLE BUDDHA","Италия, Франция, Лихтенштейн, Великобритания, 1993, 123 мин."
"УБИЙЦА","NIE YIN NIANG","http://www.kinohorosho.ru/node/1050","Хоу Сяо-Cянь","Тайвань-Китай-Гонконг-Франция","mixed",2015,105,"not short","УБИЙЦАNIE YIN NIANG","Тайвань, Китай, Гонконг, Франция, 2015, 105 мин."
"БИБЛИОТЕКА ПАСКАЛЯ","","http://www.kinohorosho.ru/node/25","Саболч Хайду","Германия-Великобритания-Румыния-Венгрия","mixed",2010,105,"not short","БИБЛИОТЕКА ПАСКАЛЯ","Германия, Великобритания, Румыния, Венгрия, 2010, 105 мин."
"ИСКУШЕНИЕ СВЯТОГО ТЫНУ","PÜHA TÕNU KIUSAMINE","http://www.kinohorosho.ru/node/1183","Вейко Ыунпуу","Эстония-Финляндия-Швеция-Франция","mixed",2009,114,"not short","ИСКУШЕНИЕ СВЯТОГО ТЫНУPÜHA TÕNU KIUSAMINE","Эстония, Финляндия, Швеция, Франция, 2009, 114 мин."
"ЛЕТНЕЕ БЕЗУМИЕ","MIDSUMMER MADNESS","http://www.kinohorosho.ru/node/818","Александр Хан","Латвия-Великобритания-Австрия-Россия","mixed",2007,94,"not short","ЛЕТНЕЕ БЕЗУМИЕMIDSUMMER MADNESS","Латвия, Великобритания, Австрия, Россия, 2007, 94 мин."
"МЕЛАНХОЛИЯ","MELANCHOLIA","http://www.kinohorosho.ru/node/1439","Ларс Фон Триер","Дания-Швеция-Франция-Германия","mixed",2011,130,"not short","МЕЛАНХОЛИЯMelancholia"," Дания, Швеция, Франция, Германия, 2011, 130 мин."
"СОЛНЦЕ","","http://www.kinohorosho.ru/node/366","Александр Сокуров","Россия-Италия-Франция","mixed",2005,110,"not short","СОЛНЦЕ","Россия-Италия-Франция, 2005, 110 мин."
"СОЛНЦЕ","","http://www.kinohorosho.ru/node/1448","Александр Сокуров","Россия-Италия-Швейцария-Франция","mixed",2005,100,"not short","СОЛНЦЕ","Россия, Италия, Швейцария, Франция, 2005, 100 мин."
"ТЭЛИ И ТОЛИ","","http://www.kinohorosho.ru/node/1064","Александр Амиров","Россия-Канада-Грузия-Греция","mixed",2015,74,"not short","ТЭЛИ И ТОЛИ","Россия, Канада, Грузия, Греция, 2015, 74 мин."
"ФОКСТРОТ","FOXTROT","http://www.kinohorosho.ru/node/1227","Шмуэль Маоз","Израиль-Швейцария-Германия-Франция","mixed",2017,112,"not short","ФОКСТРОТFOXTROT ","Израиль, Швейцария, Германия, Франция, 2017, 112 мин."
"Я НАНЯЛ УБИЙЦУ","I HIRED A CONTRACT KILLER","http://www.kinohorosho.ru/node/882","Аки Каурисмяки","Финляндия-Великобритания-Германия-Швеция-Франция","mixed",1990,80,"not short","Я нанял убийцу I Hired a Contract Killer","Финляндия, Великобритания, Германия, Швеция, Франция, 1990, 80 мин."
"В ЛУЧАХ СОЛНЦА","","http://www.kinohorosho.ru/node/1069","Виталий Манский","Чехия-Россия-Германия-Латвия-Северная Корея","mixed",2015,106,"not short","В ЛУЧАХ СОЛНЦА ","Чехия, Россия, Германия, Латвия, Северная Корея, 2015, 106 мин."
