"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"ЮРА","","http://www.kinohorosho.ru/node/837","Светлана Черникова","Россия","not mixed",2014,26,"short","ЮРА","Россия, 2014, 26 мин."
"Я И КАМИНСКИ","ICH UND KAMINSKI","http://www.kinohorosho.ru/node/1292","Вольфганг Беккер","Бельгия-Германия","mixed",2015,120,"not short","Я И КАМИНСКИICH UND KAMINSKI ","Бельгия-Германия, 2015, 120 мин."
"Я И ОРСОН УЭЛЛС","ME AND ORSON WELLES","http://www.kinohorosho.ru/node/856","Ричард Линклейтер","Великобритания-США","mixed",2008,114,"not short","Я И ОРСОН УЭЛЛСME AND ORSON WELLES","Великобритания-США, 2008, 114 мин."
"ЯДОВИТАЯ ЯГОДА В МОЁМ МОЗГУ","NOUNAI POIZUN BERÎ","http://www.kinohorosho.ru/node/1048","Ючи Сато","Япония","not mixed",2015,121,"not short","ЯДОВИТАЯ ЯГОДА В МОЁМ МОЗГУNOUNAI POIZUN BERÎ","Япония, 2015, 121 мин."
"ЯТТЕРМЕН","YATTERMAN","http://www.kinohorosho.ru/node/700","Такаши Миике","Япония","not mixed",2009,101,"not short","ЯТТЕРМЕНYATTERMAN","Япония, 2009, 101 мин."
"АВГУСТ В ВОДЕ","MIZU NO NAKA NO HACHIGATSU","http://www.kinohorosho.ru/node/687","Сого Ишии","Япония","not mixed",1995,118,"not short","АВГУСТ В ВОДЕMIZU NO NAKA NO HACHIGATSU ","Япония, 1995, 118 мин."
"АВГУСТИНА","AUGUSTINE","http://www.kinohorosho.ru/node/1008","Алис Винокур","Франция","not mixed",2012,102,"not short","АВГУСТИНАAUGUSTINE","Франция, 2012, 102 мин."
"АГЛАЯ","AGLAJA","http://www.kinohorosho.ru/node/773","Кристина Деак","Венгрия-Румыния-Польша","mixed",2012,110,"not short","АГЛАЯAGLAJA ","Венгрия-Румыния-Польша, 2012, 110 мин."
"АДВОКАТ","BYEONHOIN","http://www.kinohorosho.ru/node/1140","Ян У-Сок","Южная Корея","not mixed",2013,127,"not short","АДВОКАТBYEONHOIN","Корея Южная, 2013, 127 мин."
"АИР","TATARAK","http://www.kinohorosho.ru/node/794","Анджей Вайда","Польша","not mixed",2009,85,"not short","АИРTATARAK","Польша, 2009, 85 мин."
"АЙСБЕРГ","L`ICEBERG","http://www.kinohorosho.ru/node/693","Доминик Абель, Фиона Гордон, Брюно Роми","Бельгия","not mixed",2005,83,"not short","АЙСБЕРГL`ICEBERG  ","Бельгия, 2005, 83 мин."
"АККУМУЛЯТОР","AKUMULÁTOR 1","http://www.kinohorosho.ru/node/695","Ян Сверак","Чехия","not mixed",1993,102,"not short","АККУМУЛЯТОРAKUMULÁTOR 1  ","Чехия, 1993, 102 мин."
"АЛИСА В ГОРОДАХ","ALICE IN DEN STÄDTEN","http://www.kinohorosho.ru/node/814","Вим Вендерс","ФРГ","not mixed",1974,110,"not short","АЛИСА В ГОРОДАХALICE IN DEN STÄDTEN","ФРГ, 1974, 110 мин."
"БАГСИ МЭЛОУН","BUGSY MALONE","http://www.kinohorosho.ru/node/1247","Алан Паркер","США","not mixed",1976,93,"not short","БАГСИ МЭЛОУНBUGSY MALONE","США, 1976, 93 мин."
"БАКЛАЖАН","EGGPLANT","http://www.kinohorosho.ru/node/1031","Янгци Ше","США","not mixed",2015,8,"short","БАКЛАЖАНEGGPLANT","США, 2015, 8 мин."
"БАЛ","LE BAL","http://www.kinohorosho.ru/node/1119","Этторе Скола","Франция-Италия-Алжир","mixed",1983,109,"not short","БАЛLE BAL","Франция-Италия-Алжир, 1983, 109 мин."
"БАЛКОН С ВИДОМ НА МОРЕ","UN BALCON SUR LA MER","http://www.kinohorosho.ru/node/719","Николь Гарсия","Франция","not mixed",2010,95,"not short","БАЛКОН С ВИДОМ НА МОРЕUN BALCON SUR LA MER","Франция, 2010, 95 мин."
"БАНДИТЫ ВРЕМЕНИ","TIME BANDITS","http://www.kinohorosho.ru/node/1355","Терри Гиллиам","Великобритания","not mixed",1981,116,"not short","БАНДИТЫ ВРЕМЕНИTIME BANDITS"," Великобритания, 1981, 116 мин."
"БАРБАРЕЛЛА","BARBARELLA","http://www.kinohorosho.ru/node/245","Роже Вадим","Франция-Италия","mixed",1968,98,"not short","БАРБАРЕЛЛАBARBARELLA","Франция - Италия, 1968, 98 мин."
"БАСНИ ЛАФОНТЕНА","FABLES DE LA FONTAINE","http://www.kinohorosho.ru/node/847","Дон Кент","Франция","not mixed",2006,98,"not short","БАСНИ ЛАФОНТЕНАFABLES DE LA FONTAINE","Франция, 2006, 98 мин."
"В БЕЛОМ ГОРОДЕ","DANS LA VILLE BLANCHE","http://www.kinohorosho.ru/node/1002","Ален Таннер","Швейцария","not mixed",1983,108,"not short","В БЕЛОМ ГОРОДЕDANS LA VILLE BLANCHE","Швейцария, 1983, 108 мин."
"В ЗИМНЕЙ СПЯЧКЕ","WINTERSCHLÄFER","http://www.kinohorosho.ru/node/754","Том Тыквер","Германия","not mixed",1997,124,"not short","В ЗИМНЕЙ СПЯЧКЕWINTERSCHLÄFER  ","Германия, 1997, 124 мин."
"В ЛАБИРИНТЕ МОЛЧАНИЯ","IM LABYRINTH DES SCHWEIGENS","http://www.kinohorosho.ru/node/1076","Джулио Риччиарелли","Германия","not mixed",2014,123,"not short","В ЛАБИРИНТЕ МОЛЧАНИЯIM LABYRINTH DES SCHWEIGENS","Германия, 2014, 123 мин."
"В ЛЕСНОЙ ЧАЩЕ","AU FOND DES BOIS","http://www.kinohorosho.ru/node/729","Бенуа Жако","Франция","not mixed",2010,102,"not short","В ЛЕСНОЙ ЧАЩЕ AU FOND DES BOIS  ","Франция, 2010, 102 мин."
"В НЕБЕ","UPP I DET BLÅ","http://www.kinohorosho.ru/node/1311","Петер Леннстранд","Швеция","not mixed",2016,82,"not short","В небеUpp i det blå","Швеция, 2016, 82 мин."
"ГАРМОНИИ ВЕРКМЕЙСТЕРА","WERCKMEISTER HARMÓNIÁK","http://www.kinohorosho.ru/node/779","Бела Тарр","Венгрия-Германия_Италия-Франция","mixed",2000,140,"not short","ГАРМОНИИ ВЕРКМЕЙСТЕРАWERCKMEISTER HARMÓNIÁK ","Венгрия-Германия_Италия-Франция, 2000, 140 мин."
"ГАРОЛЬД И МОД","HAROLD AND MAUDE","http://www.kinohorosho.ru/node/478","Хэл Эшби","США","not mixed",1971,92,"not short","ГАРОЛЬД И МОДHAROLD AND MAUDE  ","США, 1971, 92 мин."
"ГАСТРОНОМИЯ ЛЮБВИ","EGY SZERELEM GASZTRONÓMIÁJA","http://www.kinohorosho.ru/node/1320","Иштван Мадарас","Венгрия","not mixed",2017,88,"not short","ГАСТРОНОМИЯ ЛЮБВИEGY SZERELEM GASZTRONÓMIÁJA","Венгрия, 2017, 88 мин."
"ГЕНЕРАЛЬНЫЙ ПЛАН","SCHÉMA DIRECTEUR","http://www.kinohorosho.ru/node/565","Bernard Tanguy","Франция","not mixed",2009,19,"short","ГЕНЕРАЛЬНЫЙ ПЛАНSCHÉMA DIRECTEUR","Франция, 2009, 19 мин."
"ГЕНРИ ФУЛ","HENRY FOOL","http://www.kinohorosho.ru/node/1107","Хэл Хартли","США","not mixed",1997,137,"not short","ГЕНРИ ФУЛHENRY FOOL","США, 1997, 137 мин."
"ГЕРБАРИЙ","HERBARIUM","http://www.kinohorosho.ru/node/984","Эрнест Хуснутдинов","Россия","not mixed",2015,24,"short","ГЕРБАРИЙHERBARIUM","Россия, 2015, 24 мин."
"ГЕРМАНИЯ","DEUTSCHLAND","http://www.kinohorosho.ru/node/983","Эрнест Хуснутдинов","Россия","not mixed",2015,41,"short","ГЕРМАНИЯDEUTSCHLAND","Россия, 2015, 41 мин."
"ДАЛЕКАЯ СИНЯЯ ВЫСЬ","THE WILD BLUE YONDER","http://www.kinohorosho.ru/node/636","Вернер Херцог","Германия","not mixed",2005,80,"not short","ДАЛЕКАЯ СИНЯЯ ВЫСЬTHE WILD BLUE YONDER ","Германия, 2005, 80 мин."
"ДАР БОГОВ","EIN GESCHENK DER GÖTTER","http://www.kinohorosho.ru/node/1000","Оливер Хэффнер","Германия","not mixed",2014,102,"not short","ДАР БОГОВEIN GESCHENK DER GÖTTER","Германия, 2014, 102 мин."
"ДЕВУШКА ВОЗВРАЩАЕТСЯ ОДНА НОЧЬЮ ДОМОЙ","A GIRL WALKS HOME ALONE AT NIGHT","http://www.kinohorosho.ru/node/992","Ана Лили Амирпур","США","not mixed",2014,101,"not short","ДЕВУШКА ВОЗВРАЩАЕТСЯ ОДНА НОЧЬЮ ДОМОЙA GIRL WALKS HOME ALONE AT NIGHT","США, 2014, 101 мин."
"ЖАППЛУ","JAPPELOUP","http://www.kinohorosho.ru/node/960","Кристиан Дюге","Франция-Канада","mixed",2013,151,"not short","ЖАППЛУ JAPPELOUP","Франция-Канада, 2013, 151 мин."
"ЖАРКИЕ ЛЕТНИЕ НОЧИ","HOT SUMMER NIGHTS","http://www.kinohorosho.ru/node/1251","Элайджа Байнум","США","not mixed",2017,107,"not short","ЖАРКИЕ ЛЕТНИЕ НОЧИHOT SUMMER NIGHTS","США, 2017, 107 мин."
"ЖЁЛТЫЙ ТОПОР","","http://www.kinohorosho.ru/node/867","Анфим Х., Игнат Гаймуратов","Россия","not mixed",2001,4,"short","ЖЁЛТЫЙ ТОПОР","Россия, 2001, 4 мин."
"ЖЕРТВОПРИНОШЕНИЕ","OFFRET","http://www.kinohorosho.ru/node/280","Андрей Тарковский","Швеция-Франция-Великобритания","mixed",1986,145,"not short","ЖЕРТВОПРИНОШЕНИЕOFFRET","Швеция-Франция-Великобритания, 1986, 145 мин."
"ЖИВЁТ ТАКОЙ ПАРЕНЬ","","http://www.kinohorosho.ru/node/1407","Василий Шукшин","СССР","not mixed",1964,95,"not short","ЖИВЁТ ТАКОЙ ПАРЕНЬ","СССР, 1964, 95 мин."
"ЖИВОТ АРХИТЕКТОРА","THE BELLY OF AN ARCHITECT","http://www.kinohorosho.ru/node/608","Питер Гринуэй","Великобритания-Италия","mixed",1987,119,"not short","ЖИВОТ АРХИТЕКТОРАTHE BELLY OF AN ARCHITECT  ","Великобритания-Италия, 1987, 119 мин."
"ЗА МЕЧТОЙ","DRÖM VIDARE","http://www.kinohorosho.ru/node/1304","Рожда Секрсоз","Швеция","not mixed",2017,92,"not short","За мечтойDröm vidare","Швеция, 2017, 92 мин."
"ЗАВЕЩАНИЕ","TESTAMENT","http://www.kinohorosho.ru/node/716","Линн Литман","США","not mixed",1983,90,"not short","ЗАВЕЩАНИЕTESTAMENT","США, 1983, 90 мин."
"ЗАЗЕРКАЛЬЕ ИМПЕРИИ","","http://www.kinohorosho.ru/node/877","Евгений Кузнецов","Россия","not mixed",2010,66,"not short","ЗАЗЕРКАЛЬЕ ИМПЕРИИ","Россия, 2010, 66 мин."
"ЗАМУЖЕСТВО МАРИИ БРАУН","DIE EHE DER MARIA BRAUN","http://www.kinohorosho.ru/node/917","Райнер Вернер Фассбиндер","ФРГ","not mixed",1979,120,"not short","ЗАМУЖЕСТВО МАРИИ БРАУНDIE EHE DER MARIA BRAUN","ФРГ, 1979, 120 мин."
"ИВАНОВО ДЕТСТВО","","http://www.kinohorosho.ru/node/913","Андрей Тарковский","СССР","not mixed",1962,96,"not short","ИВАНОВО ДЕТСТВО","СССР, 1962, 96 мин."
"ИГРА В ИМИТАЦИЮ","THE IMITATION GAME","http://www.kinohorosho.ru/node/881","Мортен Тильдум","Великобритания","not mixed",2014,114,"not short","ИГРА В ИМИТАЦИЮ    THE IMITATION GAME","Великобретания, 2014, 114 мин."
"К СЕВЕРУ ОТ РАЯ","EEDENISTÄ POHJOISEEN","http://www.kinohorosho.ru/node/1038","Вирпи Суутари","Финляндия","not mixed",2014,78,"not short","К СЕВЕРУ ОТ РАЯEEDENISTÄ POHJOISEEN","Финляндия, 2014, 78 мин."
"КАБИНЕТ","","http://www.kinohorosho.ru/node/865","Игнат Гаймуратов","Россия","not mixed",1998,10,"short","КАБИНЕТ","Россия, 1998, 10 мин."
"КАЛИНА КРАСНАЯ","","http://www.kinohorosho.ru/node/1408","Василий Шукшин","СССР","not mixed",1974,106,"not short","КАЛИНА КРАСНАЯ","СССР, 1974, 106 мин."
"ЛАКЕЙ ИППОЛИТ","HYPPOLIT A LAKÁJ","http://www.kinohorosho.ru/node/1318","Стив Шекей","Венгрия","not mixed",1931,75,"not short","ЛАКЕЙ ИППОЛИТHYPPOLIT A LAKÁJ","Венгрия, 1931, 75 мин."
"ЛАКОМБ ЛЮСЬЕН","LACOMBE LUCIEN","http://www.kinohorosho.ru/node/833","Луи Маль","Франция-ФРГ-Италия","mixed",1974,137,"not short","ЛАКОМБ ЛЮСЬЕНLACOMBE LUCIEN","Франция-ФРГ-Италия, 1974, 137 мин."
"ЛЕВИАФАН","LEVIATHAN","http://www.kinohorosho.ru/node/778","Люсьен Кастен-Тэйлор, Вирина Паравел","Франция-Великобритания-США","mixed",2012,87,"not short","ЛЕВИАФАНLEVIATHAN  ","Франция-Великобритания-США, 2012, 87 мин."
"ЛЕГЕНДА О КАСПАРЕ ХАУЗЕРЕ","LA LEGGENDA DI KASPAR HAUSER","http://www.kinohorosho.ru/node/1299","Давид Манули","Италия","not mixed",2012,95,"not short","ЛЕГЕНДА О КАСПАРЕ ХАУЗЕРЕLA LEGGENDA DI KASPAR HAUSER","Италия, 2012, 95 мин."
"ЛЕГЕНДА О СУРАМСКОЙ КРЕПОСТИ","ᲐᲛᲑᲐᲕᲘ ᲡᲣᲠᲐᲛᲘᲡ ᲪᲘᲮᲘᲡᲐ","http://www.kinohorosho.ru/node/1404","Сергей Параджанов, Додо Абашидзе","СССР","not mixed",1984,86,"not short","ЛЕГЕНДА О СУРАМСКОЙ КРЕПОСТИამბავი სურამის ციხისა","СССР, 1984, 86 мин."
"ЛЕДИ В ФУРГОНЕ","THE LADY IN THE VAN","http://www.kinohorosho.ru/node/1054","Николас Хайтнер","Великобритания","not mixed",2015,104,"not short","ЛЕДИ В ФУРГОНЕTHE LADY IN THE VAN","Великобритания, 2015, 104 мин."
"ЛЕДЯНОЙ ШТОРМ","THE ICE STORM","http://www.kinohorosho.ru/node/1435","Энг Ли","США","not mixed",1997,103,"not short","ЛЕДЯНОЙ ШТОРМ THE ICE STORM","США, 1997, 103 мин."
"МАДЕМУАЗЕЛЬ","MADEMOISELLE","http://www.kinohorosho.ru/node/727","Филипп Лиоре","Франция","not mixed",2001,85,"not short","МАДЕМУАЗЕЛЬ  MADEMOISELLE  ","Франция, 2001, 85 мин."
"МАЛЬБАН","MALBAN","http://www.kinohorosho.ru/node/590","Elodie Bouedec","Франция","not mixed",2009,8,"short","МАЛЬБАНMALBAN","Франция, 2009, 8 мин."
"НА ДАЧУ","","http://www.kinohorosho.ru/node/1190","Алексей Наумов","Россия","not mixed",2016,16,"short","НА ДАЧУ","Россия, 2016, 16 мин."
"НА ЗАПАДНОМ ФРОНТЕ БЕЗ ПЕРЕМЕН","ALL QUIET ON THE WESTERN FRONT","http://www.kinohorosho.ru/node/1455","Льюис Майлстоун","США","not mixed",1930,133,"not short","НА ЗАПАДНОМ ФРОНТЕ БЕЗ ПЕРЕМЕНALL QUIET ON THE WESTERN FRONT","США, 1930, 133 мин."
"НА ЗНАКОМОЙ ПОЧВЕ","EN TERRAINS CONNUS","http://www.kinohorosho.ru/node/852","Стефан Лафлер","Канада","not mixed",2011,99,"not short","НА ЗНАКОМОЙ ПОЧВЕEN TERRAINS CONNUS","Канада, 2011, 99 мин."
"НА ПЛАВУ","COMME UN AVION","http://www.kinohorosho.ru/node/1203","Брюно Подалидес","Франция","not mixed",2015,97,"not short","НА ПЛАВУCOMME UN AVION","Франция, 2015, 97 мин."
"НА ПРОХОДЕ","EN PASSANT","http://www.kinohorosho.ru/node/1166","Ката Олах","Венгрия","not mixed",2015,19,"short","НА ПРОХОДЕ EN PASSANT","Венгрия, 2015, 19 мин."
"НА ЧУЖОЙ ВКУС","LE GOÛT DES AUTRES","http://www.kinohorosho.ru/node/1147","Аньес Жауи","Франция","not mixed",2000,108,"not short","НА ЧУЖОЙ ВКУСLE GOÛT DES AUTRES ","Франция, 2000, 108 мин."
"НАЗАД В БУДУЩЕЕ","BACK TO THE FUTURE","http://www.kinohorosho.ru/node/1346","Роберт Земекис","США","not mixed",1985,116,"not short","Назад в будущееBack to the Future","США, 1985, 116 мин."
"О ВОЙНЕ","DE LA GUERRE","http://www.kinohorosho.ru/node/803","Бертран Бонелло","Франция","not mixed",2008,126,"not short","О ВОЙНЕDE LA GUERRE","Франция, 2008, 126 мин."
"О ПРАЗДНЕСТВЕ И ГОСТЯХ","O SLAVNOSTI A HOSTECH","http://www.kinohorosho.ru/node/439","Ян Немец","ЧССР","not mixed",1966,71,"not short","О ПРАЗДНЕСТВЕ И ГОСТЯХO SLAVNOSTI A HOSTECH","ЧССР, 1966, 71 мин."
"О ТЕЛЕ И ДУШЕ","TESTRŐL ÉS LÉLEKRŐL","http://www.kinohorosho.ru/node/1158","Ильдико Эньеди","Венгрия","not mixed",2017,116,"not short","О ТЕЛЕ И ДУШЕTESTRŐL ÉS LÉLEKRŐL","Венгрия, 2017, 116 мин."
"ОБЪЯТИЯ ЗМЕЯ","EL ABRAZO DE LA SERPIENTE","http://www.kinohorosho.ru/node/1334","Сиро Герра","Колумбия-Венесуэла-Аргентина","mixed",2014,125,"not short","ОБЪЯТИЯ ЗМЕЯEL ABRAZO DE LA SERPIENTE","Колумбия-Венесуэла-Аргентина, 2014, 125 мин."
"ОБЫКНОВЕННАЯ ИСТОРИЯ","JAO NOK KRAJOK","http://www.kinohorosho.ru/node/746","Аноча Сувичакорнпонг","Таиланд","not mixed",2009,77,"not short","ОБЫКНОВЕННАЯ ИСТОРИЯJAO NOK KRAJOK","Таиланд, 2009, 77 мин."
"ОБЫКНОВЕННАЯ КАЗНЬ","UNE ÉXÉCUTION ORDINAIRE","http://www.kinohorosho.ru/node/846","Марк Дюген","Франция","not mixed",2009,105,"not short","ОБЫКНОВЕННАЯ КАЗНЬUNE ÉXÉCUTION ORDINAIRE","Франция, 2009, 105 мин."
"ОБЫКНОВЕННЫЕ ЛЮДИ","ORDINARY PEOPLE","http://www.kinohorosho.ru/node/1433","Роберт Редфорд","США","not mixed",1980,124,"not short","ОБЫКНОВЕННЫЕ ЛЮДИORDINARY PEOPLE","США, 1980, 124 мин."
"ПАЛ АДРИЕНН","PÁL ADRIENN","http://www.kinohorosho.ru/node/775","Агнеш Кочиш","Венгрия-Франция-Австрия-Нидерланды","mixed",2010,136,"not short","ПАЛ АДРИЕННPÁL ADRIENN","Венгрия-Франция-Австрия-Нидерланды, 2010, 136 мин."
"ПАПА В КОМАНДИРОВКЕ","OTAC NA SLUŽBENOM PUTU","http://www.kinohorosho.ru/node/817","Эмир Кустурица","Югославия","not mixed",1985,138,"not short","ПАПА В КОМАНДИРОВКЕOTAC NA SLUŽBENOM PUTU","Югославия, 1985, 138 мин."
"ПАРАД ПЛАНЕТ","","http://www.kinohorosho.ru/node/1401","Вадим Абдрашитов","СССР","not mixed",1984,91,"not short","ПАРАД ПЛАНЕТ","СССР, 1984, 91 мин."
"ПАРАЗИТ","KISEIJUU","http://www.kinohorosho.ru/node/1297","Такаши Ямадзаки","Япония","not mixed",2014,110,"not short","ПаразитKiseijuu","Япония, 2014, 110 мин."
"ПЕЙЗАЖ В ТУМАНЕ","ΤΟΠΊΟ ΣΤΗΝ ΟΜΊΧΛΗ","http://www.kinohorosho.ru/node/804","Тео Ангелуполос","Греция-Франция-Италия","mixed",1988,120,"not short","ПЕЙЗАЖ В ТУМАНЕΤΟΠΊΟ ΣΤΗΝ ΟΜΊΧΛΗ","Греция-Франция-Италия, 1988, 120 мин."
"РАЗВОД","ATT SKILJAS","http://www.kinohorosho.ru/node/924","Карин Экберг","Швеция","not mixed",2014,70,"not short","РАЗВОД ATT SKILJAS","Швеция, 2014, 70 мин."
"РАЗГОВОР","THE CONVERSATION","http://www.kinohorosho.ru/node/475","Френсис Форд Коппола","США","not mixed",1974,113,"not short","РАЗГОВОРTHE CONVERSATION ","США, 1974, 113 мин."
"РАЗРУШИТЕЛЬНИЦА СИСТЕМЫ","SYSTEMSPRENGER","http://www.kinohorosho.ru/node/1415","Нора Финшелдт","Германия","not mixed",2019,125,"not short","РАЗРУШИТЕЛЬНИЦА СИСТЕМЫSYSTEMSPRENGER","Германия, 2019, 125 мин."
"РАЗРЫВ","RUPTURE","http://www.kinohorosho.ru/node/605","Пьер Этекс","Франция","not mixed",1961,11,"short","РАЗРЫВRUPTURE","Франция, 1961, 11 мин."
"РАСЁМОН","羅生門","http://www.kinohorosho.ru/node/1449","Акира Куросава","Япония","not mixed",1950,88,"not short","РАСЁМОН羅生門","Япония, 1950, 88 мин."
"РАСЦВЕТ МИСС ДЖИН БРОДИ","THE PRIME OF MISS JEAN BRODIE","http://www.kinohorosho.ru/node/830","Роналд Ним","Великобритания","not mixed",1969,116,"not short","РАСЦВЕТ МИСС ДЖИН БРОДИTHE PRIME OF MISS JEAN BRODIE","Великобритания, 1969, 116 мин."
"САДОВАЯ УЛИЦА","TRÄDGÅRDSGATAN","http://www.kinohorosho.ru/node/1308","Олоф Спаак","Швеция","not mixed",2017,110,"not short","Садовая улицаTrädgårdsgatan","Швеция, 2017, 110 мин."
"САДЫ АДАМА","","http://www.kinohorosho.ru/node/868","Анфим Х., Роман Постников, Игнат Гаймуратов","Россия","not mixed",1999,32,"short","САДЫ АДАМА","Россия, 1999, 32 мин."
"САМЫЙ БОЛЬШОЙ ТЕННИС","","http://www.kinohorosho.ru/node/789","Клим Козинский","Россия","not mixed",2013,15,"short","САМЫЙ БОЛЬШОЙ ТЕННИС","Россия, 2013, 15 мин."
"ТАЙНАЯ ЖИЗНЬ","A HIDDEN LIFE","http://www.kinohorosho.ru/node/1338","Терренс Малик","США-Великобритания-Германия","mixed",2019,174,"not short","ТАЙНАЯ ЖИЗНЬA HIDDEN LIFE","США-Великобритания-Германия, 2019, 174 мин."
"ТЕЛЕЦ","","http://www.kinohorosho.ru/node/1457","Александр Сокуров","Россия","not mixed",2000,97,"not short","ТЕЛЕЦ","Россия, 2000, 97 мин."
"ТЕМА","","http://www.kinohorosho.ru/node/1386","Глеб Панфилов","СССР","not mixed",1979,98,"not short","ТЕМА","СССР, 1979, 98 мин."
"ТЕНИ В РАЮ","VARJOJA PARATIISISSA","http://www.kinohorosho.ru/node/930","Аки Каурисмяки","Финляндия","not mixed",1986,76,"not short","ТЕНИ В РАЮ VARJOJA PARATIISISSA","Финляндия, 1986, 76 мин."
"УБИЙСТВО В ВОСТОЧНОМ ЭКСПРЕССЕ","MURDER ON THE ORIENT EXPRESS","http://www.kinohorosho.ru/node/1156","Сидни Люмет","Великобритания","not mixed",1974,128,"not short","УБИЙСТВО В ВОСТОЧНОМ ЭКСПРЕССЕMURDER ON THE ORIENT EXPRESS ","Великобритания, 1974, 128 мин."
"УБИТЫЕ МОЛНИЕЙ","","http://www.kinohorosho.ru/node/380","Евгений Юфит","Россия-Нидерланды-Швейцария","mixed",2002,65,"not short","УБИТЫЕ МОЛНИЕЙ","Россия-Нидерланды-Швейцария, 2002, 65 мин."
"УВЛЕЧЕНЬЯ","","http://www.kinohorosho.ru/node/1359","Кира Муратова","Россия","not mixed",1994,112,"not short","УВЛЕЧЕНЬЯ","Россия, 1994, 112 мин."
"Ф КАК ФАЛЬШИВКА","F FOR FAKE","http://www.kinohorosho.ru/node/940","Орсон Уэллс","Франция-Иран-ФРГ","mixed",1973,89,"not short","Ф КАК ФАЛЬШИВКА F FOR FAKE","Франция-Иран-ФРГ, 1973, 89 мин."
"ФАКТОР РИСКА","FACTEUR RISQUE","http://www.kinohorosho.ru/node/594","Фабрис Марука","Франция","not mixed",2010,5,"short","ФАКТОР РИСКАFACTEUR RISQUE","Франция, 2010, 5 мин."
"ФЕВРАЛЬ","","http://www.kinohorosho.ru/node/1097","Руслан Магомадов","Россия","not mixed",2014,26,"short","ФЕВРАЛЬ","Россия (Чечня), 2014, 26 мин."
"ХАННА АРЕНДТ","HANNAH ARENDT","http://www.kinohorosho.ru/node/892","Маргарета Фон Тротта","Германия-Люксембург-Франция-Израиль","mixed",2012,113,"not short","ХАННА АРЕНДТHANNAH ARENDT","Германия-Люксембург-Франция-Израиль, 2012, 113 мин."
"ХЁРДУР","HÖRDUR","http://www.kinohorosho.ru/node/1177","Экрем Эргюн","Германия","not mixed",2015,84,"not short","ХЁРДУР HÖRDUR","Германия, 2015, 84 мин."
"ХЛЕБ И ТЮЛЬПАНЫ","PANE E TULIPANI","http://www.kinohorosho.ru/node/1113","Сильвио Сольдини","Италия-Швейцария","mixed",2000,86,"not short","ХЛЕБ И ТЮЛЬПАНЫPANE E TULIPANI","Италия-Швейцария, 2000, 86 мин."
"ХЛОПНУЛ ДВЕРЬЮ И УШЁЛ","","http://www.kinohorosho.ru/node/1103","Салават Юзеев","Россия","not mixed",2015,21,"short","ХЛОПНУЛ ДВЕРЬЮ И УШЁЛ","Россия (Татарстан), 2015, 21 мин."
"ХОЛОДНЫЕ ЗАКУСКИ","BUFFET FROID","http://www.kinohorosho.ru/node/1317","Бертран Блие","Франция","not mixed",1979,89,"not short","Холодные закускиBuffet froid","Франция, 1979, 89 мин."
"ЧАСТНОЕ ТОРЖЕСТВО","","http://www.kinohorosho.ru/node/431","Малкольм Маубрэй","Великобритания","not mixed",1984,93,"not short","ЧАСТНОЕ ТОРЖЕСТВО","Великобритания, 1984, 93 мин."
"ЧЕЛОВЕК В БЕЛОМ КОСТЮМЕ","THE MAN IN THE WHITE SUIT","http://www.kinohorosho.ru/node/1055","Александр Маккендрик","Великобритания","not mixed",1951,85,"not short","ЧЕЛОВЕК В БЕЛОМ КОСТЮМЕTHE MAN IN THE WHITE SUIT","Великобритания, 1951, 85 мин."
"ЧЕЛОВЕК НЕ ПТИЦА","ČOVEK NIJE TICA","http://www.kinohorosho.ru/node/1118","Душан Макавеев","Югославия","not mixed",1981,81,"not short","ЧЕЛОВЕК НЕ ПТИЦАČOVEK NIJE TICA ","Югославия, 1981, 81 мин."
"АЛЛЕИ","","http://www.kinohorosho.ru/node/785","Виктория Чупахина","Россия","not mixed",2013,12,"short","АЛЛЕИ","Россия, 2013, 12 мин."
"АНДЕРДОГ","SVENSKJÄVEL","http://www.kinohorosho.ru/node/1125","Ронни Сандаль","Швеция-Норвегия","mixed",2014,100,"not short","АНДЕРДОГSVENSKJÄVEL","Швеция-Норвегия, 2014, 100 мин."
"АНДРЕЙ РУБЛЕВ","","http://www.kinohorosho.ru/node/1229","Андрей Тарковский","СССР","not mixed",1966,175,"not short","АНДРЕЙ РУБЛЕВ","СССР, 1966, 175 мин."
"АНИМАЦИЯ ПРИИЙТА ПЯРНА","","http://www.kinohorosho.ru/node/624","Приийт Пярн, Янно Пылдма","Эстония","not mixed",1995,30,"short","АНИМАЦИЯ ПРИИЙТА ПЯРНА","Эстония, 1995, 30 мин."
"АННА ИЗ ФРАНЦИИ","ANNIE DE FRANCIA","http://www.kinohorosho.ru/node/577","Christophe Le Masne","Франция","not mixed",2009,32,"short","АННА ИЗ ФРАНЦИИANNIE DE FRANCIA","Франция, 2009, 32 мин."
"АРМИЯАРМЭ","","http://www.kinohorosho.ru/node/1096","Олег Хамоков","Россия","mixed",2014,17,"short","АРМИЯАРМЭ","Россия (Кабардино-Балкария), 2014, 17 мин."
"АССА","","http://www.kinohorosho.ru/node/1427","Сергей Соловьев","СССР","not mixed",1987,153,"not short","АССА","СССР, 1987, 153 мин."
